                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5496,                 4.2264,                 1.7411,                 0.0033,                0.21533,                0.04432,                0.01442,                 2.2207,                 3.9587,                 1.5771,             0.00036321,             0.00036321,             0.00036321
                      2,                 2.2348,                 2.9951,                 1.5342,                0.62074,                0.18337,                0.15715,                0.04592,                 2.2588,                 2.7324,                 1.6879,             0.00072628,             0.00072628,             0.00072628
                      3,                 2.1707,                 2.6061,                 1.5153,                0.51929,                0.27136,                0.27186,                0.10166,                 2.1572,                 2.2104,                 1.5918,               0.001082,               0.001082,               0.001082
                      4,                 2.0968,                 2.4693,                 1.4708,                0.31985,                0.33737,                0.27017,                0.10145,                 2.1428,                 2.1499,                 1.6465,               0.001078,               0.001078,               0.001078
                      5,                 2.0835,                  2.119,                 1.4642,                0.37813,                0.48144,                0.38752,                0.14737,                 2.1097,                 1.8825,                 1.5454,               0.001067,               0.001067,               0.001067
                      6,                 2.0302,                 2.0162,                 1.4468,                0.36451,                0.30379,                0.31142,                0.11944,                 2.2265,                 2.2542,                 1.5668,               0.001056,               0.001056,               0.001056
                      7,                  2.003,                 1.8784,                 1.4249,                0.46629,                0.44437,                0.43268,                0.16581,                 2.0394,                 1.7126,                 1.5008,               0.001045,               0.001045,               0.001045
                      8,                 2.0366,                 1.8167,                 1.3987,                0.51036,                 0.4574,                0.45049,                0.18979,                 2.0966,                 1.7217,                 1.5311,               0.001034,               0.001034,               0.001034
                      9,                 1.9449,                 1.6376,                 1.3648,                0.59282,                0.48302,                0.51957,                0.24226,                 1.9504,                 1.5929,                 1.4556,               0.001023,               0.001023,               0.001023
                     10,                  1.922,                 1.6231,                 1.3555,                0.55289,                0.54528,                0.52392,                0.22297,                 1.9669,                 1.5841,                 1.4181,               0.001012,               0.001012,               0.001012
                     11,                  1.915,                 1.5761,                  1.345,                0.72655,                0.48576,                0.57012,                 0.2455,                 1.9788,                 1.5208,                 1.4452,               0.001001,               0.001001,               0.001001
                     12,                 1.8865,                  1.515,                 1.3372,                0.67048,                0.59898,                0.64162,                0.28094,                 1.9365,                 1.3739,                 1.4123,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.8532,                 1.4646,                 1.3179,                0.67536,                0.48208,                0.59403,                0.25545,                  1.968,                 1.5036,                 1.4174,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.8922,                 1.4411,                 1.3161,                0.75122,                0.57645,                0.66564,                 0.3087,                 1.8855,                 1.3357,                 1.3806,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.8141,                 1.3812,                 1.2781,                0.70358,                0.61563,                0.67164,                0.31663,                 1.8959,                 1.3585,                 1.3958,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.8705,                  1.386,                 1.2965,                0.68714,                0.60837,                0.65451,                0.28652,                 1.9195,                 1.3709,                 1.3882,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.7956,                 1.3412,                 1.2751,                0.81367,                0.60113,                0.69685,                0.30975,                 1.9228,                 1.3168,                 1.3772,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.7842,                  1.288,                 1.2719,                0.75574,                0.63459,                0.71724,                0.32457,                 1.8793,                 1.2527,                 1.3885,             0.00092402,             0.00092402,             0.00092402
                     19,                  1.772,                  1.258,                 1.2555,                0.76653,                0.62844,                0.71582,                0.34341,                 1.8484,                 1.2376,                 1.3501,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.7681,                 1.2317,                 1.2431,                0.85824,                0.59506,                0.73974,                0.35194,                 1.8797,                 1.1985,                 1.3593,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.7404,                 1.2057,                 1.2416,                0.75456,                 0.6635,                0.72379,                 0.3287,                 1.8827,                   1.22,                 1.3417,             0.00089102,             0.00089102,             0.00089102
                     22,                   1.74,                 1.1925,                 1.2409,                0.82087,                0.64431,                0.74724,                0.36027,                 1.8395,                 1.1703,                  1.324,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.7389,                 1.1728,                 1.2228,                0.63766,                 0.6578,                0.68003,                0.30348,                 1.9223,                 1.3109,                 1.3801,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.7149,                 1.1549,                 1.2214,                0.79414,                0.68272,                 0.7608,                0.35658,                 1.8299,                 1.1233,                 1.3288,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.6739,                 1.1169,                 1.2026,                0.70181,                0.72113,                0.73066,                0.34917,                 1.8413,                 1.1345,                 1.3482,             0.00084703,             0.00084703,             0.00084703
                     26,                  1.723,                 1.1369,                 1.1951,                0.81012,                0.63661,                0.73281,                0.35855,                 1.8913,                 1.1909,                 1.3529,             0.00083603,             0.00083603,             0.00083603
                     27,                  1.681,                 1.1253,                 1.1981,                0.73584,                0.73011,                0.75441,                0.35191,                 1.8112,                 1.1582,                 1.3054,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.6439,                 1.0819,                 1.1686,                0.79911,                0.70979,                 0.7864,                0.37015,                 1.8162,                 1.1151,                 1.3092,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.6482,                 1.0802,                 1.1892,                0.78562,                0.77367,                0.80954,                0.38889,                 1.7613,                 1.0956,                 1.2988,             0.00080303,             0.00080303,             0.00080303
                     30,                 1.6557,                 1.0596,                 1.1818,                0.73757,                0.74885,                 0.7696,                0.36228,                 1.8266,                 1.1241,                 1.3029,             0.00079203,             0.00079203,             0.00079203
                     31,                 1.6351,                 1.0622,                 1.1771,                0.78901,                0.69533,                0.75251,                0.35817,                 1.8206,                 1.1411,                 1.3009,             0.00078103,             0.00078103,             0.00078103
                     32,                 1.6277,                 1.0674,                 1.1758,                0.80717,                0.69495,                0.80063,                0.36867,                 1.8378,                 1.0752,                  1.318,             0.00077003,             0.00077003,             0.00077003
                     33,                 1.6329,                 1.0274,                 1.1833,                0.84453,                0.72558,                0.81295,                 0.3922,                 1.7914,                 1.0357,                 1.3031,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.5873,                 1.0037,                 1.1658,                0.74635,                0.74298,                0.78113,                0.36693,                 1.8399,                 1.0873,                 1.3343,             0.00074804,             0.00074804,             0.00074804
                     35,                  1.631,                 1.0106,                 1.1654,                 0.7926,                0.74505,                0.79106,                0.37413,                 1.8155,                 1.0707,                 1.3222,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.6167,                  1.012,                 1.1679,                0.77549,                0.73812,                0.79951,                0.39889,                 1.7942,                 1.0937,                 1.3187,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.5645,                0.96486,                 1.1416,                0.81714,                0.77899,                0.80793,                0.38906,                 1.7561,                 1.0366,                 1.2972,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.5704,                0.96452,                 1.1415,                0.78267,                0.74147,                0.79152,                 0.3842,                 1.8092,                 1.0965,                 1.3137,             0.00070404,             0.00070404,             0.00070404
