                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8257,                 4.6462,                 1.9892,                0.00214,                0.09699,                0.02088,                0.00433,                 3.1016,                 4.4643,                 2.1085,             0.00032667,             0.00032667,             0.00032667
                      2,                  2.192,                 3.3971,                 1.5827,                0.35956,                0.03804,                0.00755,                0.00128,                 3.4826,                 4.3412,                  2.935,             0.00065347,             0.00065347,             0.00065347
                      3,                 2.0506,                 2.9486,                 1.5088,                0.37283,                0.03173,                0.01882,                0.00369,                 3.4861,                 3.8263,                 2.9282,             0.00097367,             0.00097367,             0.00097367
                      4,                 1.9919,                 2.6816,                 1.4935,                0.54405,                0.04046,                0.01668,                0.00351,                 3.5173,                 3.5461,                 2.7706,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.9079,                  2.469,                 1.4417,                0.71764,                0.01694,                0.01244,                0.00298,                 3.3533,                  3.976,                 2.5836,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.8614,                  2.293,                 1.4075,                0.00416,                0.08884,                0.00399,                0.00102,                 3.5289,                 3.9655,                 2.9751,              0.0009505,              0.0009505,              0.0009505
                      7,                  1.779,                 2.1161,                 1.3804,                0.00678,                0.12338,                0.00833,                0.00179,                 3.5972,                 3.7882,                 2.8736,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.7771,                 2.0222,                 1.3681,                0.19332,                0.04899,                0.01511,                0.00329,                 3.5217,                 3.5206,                 2.7683,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.7431,                 1.8639,                 1.3452,                0.51728,                0.01839,                0.00968,                 0.0028,                 3.5763,                 4.0862,                 2.8632,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.7288,                 1.7838,                 1.3262,                0.23815,                0.02078,                0.00973,                0.00317,                 3.6261,                 3.9973,                 2.9453,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.7225,                 1.7643,                 1.3442,                0.52616,                0.02385,                0.01424,                0.00389,                 3.5869,                 4.0327,                 2.8853,               0.000901,               0.000901,               0.000901
                     12,                 1.6908,                 1.7091,                 1.3148,                0.18805,                0.01157,                 0.0077,                0.00169,                 3.5552,                 4.1102,                 2.8435,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.6499,                 1.6301,                 1.3007,                0.00857,                 0.0865,                0.01132,                0.00312,                 3.6842,                 4.1357,                 2.9891,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.6389,                  1.589,                 1.2833,                 0.4701,                0.03775,                0.02183,                0.00606,                 3.5063,                 3.9654,                 2.6501,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.6103,                 1.5354,                 1.2746,                0.24227,                0.03158,                0.01288,                0.00387,                 3.6023,                 4.3693,                 2.9183,              0.0008614,              0.0008614,              0.0008614
                     16,                  1.619,                 1.4794,                 1.2555,                0.01655,                0.06715,                0.01772,                 0.0052,                  3.526,                 4.2752,                 2.9295,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.6026,                 1.4293,                 1.2558,                0.37358,                0.02416,                0.02168,                 0.0052,                 3.5239,                 4.0887,                 2.8244,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.5654,                  1.376,                 1.2302,                0.01627,                0.06504,                0.01314,                0.00373,                 3.5807,                 4.2322,                 2.7707,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.5742,                 1.3752,                 1.2382,                0.01569,                0.03595,                0.01138,                0.00324,                 3.4652,                  4.607,                 2.7312,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.5381,                 1.3347,                 1.2222,                0.36525,                0.01852,                0.01725,                0.00403,                 3.5077,                 4.2466,                 2.7539,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.5599,                 1.3197,                  1.223,                0.01795,                0.03568,                0.01621,                0.00405,                 3.5734,                 4.8759,                 3.0058,               0.000802,               0.000802,               0.000802
                     22,                 1.5442,                 1.2977,                 1.2158,                0.01567,                0.05286,                0.01854,                0.00463,                 3.4894,                 4.4129,                 2.7089,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.5219,                 1.2864,                 1.2123,                0.39371,                0.02232,                0.02056,                0.00508,                 3.5313,                 4.5274,                 2.8336,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.4975,                 1.2574,                 1.1986,                0.01338,                0.05819,                0.01411,                0.00369,                 3.5629,                 4.7652,                 2.9604,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.5091,                 1.2223,                 1.1934,                0.01931,                0.02315,                0.01317,                0.00313,                 3.6458,                 4.1704,                 2.9359,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.4883,                 1.1903,                 1.1936,                 0.0158,                0.05268,                0.01881,                0.00546,                 3.5565,                 4.7009,                 2.9425,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.4785,                 1.1893,                 1.1905,                0.02851,                0.05092,                0.02979,                0.01151,                 3.4582,                 4.8125,                 2.8018,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.4678,                 1.1755,                  1.172,                0.02602,                 0.0677,                   0.03,                0.00825,                 3.5651,                 4.6459,                 2.8111,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.4846,                 1.1426,                 1.1877,                 0.0226,                0.04984,                0.02011,                0.00651,                 3.4857,                 4.8883,                 2.8179,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.4565,                 1.1491,                 1.1714,                 0.3796,                0.03469,                0.02593,                0.00585,                   3.49,                 4.5381,                 2.8354,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.4355,                 1.1312,                 1.1578,                0.15487,                0.05222,                0.03669,                 0.0088,                  3.577,                  3.695,                 2.8065,               0.000703,               0.000703,               0.000703
                     32,                 1.4262,                 1.0946,                 1.1478,                0.40567,                0.02232,                0.02422,                0.00778,                 3.4594,                 4.7158,                 2.7257,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.4304,                 1.1091,                 1.1427,                0.22472,                0.04186,                0.02319,                0.00593,                 3.4467,                 4.1389,                 2.6731,              0.0006832,              0.0006832,              0.0006832
                     34,                  1.424,                 1.0615,                 1.1503,                0.55522,                0.02155,                 0.0196,                0.00533,                 3.4767,                 4.8734,                 2.6518,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.4224,                 1.0677,                 1.1556,                0.02325,                0.04481,                0.01955,                0.00439,                 3.4718,                 4.8577,                  2.737,              0.0006634,              0.0006634,              0.0006634
