                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8257,                 4.6462,                 1.9892,                0.00214,                0.09699,                0.02088,                0.00433,                 3.1016,                 4.4643,                 2.1085,             0.00032667,             0.00032667,             0.00032667
                      2,                 2.1938,                 3.3887,                 1.5698,                0.00067,                0.03385,                0.00558,                0.00095,                 3.5364,                 4.4841,                 3.0394,             0.00063822,             0.00063822,             0.00063822
                      3,                  2.031,                 2.8956,                  1.494,                0.54303,                 0.0074,                0.00451,                0.00088,                 3.5695,                 4.1148,                 3.5093,             0.00092777,             0.00092777,             0.00092777
                      4,                 1.9645,                 2.6796,                 1.4509,                0.58327,                0.02419,                0.01826,                0.00498,                 3.4923,                 3.8697,                 2.7091,               0.000901,               0.000901,               0.000901
                      5,                  1.882,                 2.4279,                 1.4253,                 0.5296,                0.01413,                0.00891,                0.00201,                 3.5728,                 3.9319,                 2.9436,               0.000868,               0.000868,               0.000868
                      6,                 1.8669,                  2.293,                 1.4099,                0.51937,                0.00694,                0.00512,                0.00105,                 3.5162,                 3.9759,                 2.9945,               0.000835,               0.000835,               0.000835
                      7,                 1.7848,                 2.1545,                  1.378,                0.37397,                0.02465,                0.01406,                0.00303,                 3.4921,                 3.7011,                 2.7668,               0.000802,               0.000802,               0.000802
                      8,                 1.7443,                 1.9842,                 1.3401,                0.19492,                0.02185,                0.01056,                0.00207,                 3.5457,                 3.7529,                 2.8305,               0.000769,               0.000769,               0.000769
                      9,                 1.7253,                 1.8398,                 1.3096,                0.00875,                0.07351,                0.01118,                0.00226,                 3.6221,                 3.9628,                 2.8973,               0.000736,               0.000736,               0.000736
                     10,                 1.6992,                 1.7776,                 1.2777,                0.19044,                0.01771,                0.00725,                0.00139,                 3.7064,                 3.7403,                 2.9989,               0.000703,               0.000703,               0.000703
                     11,                 1.6849,                 1.7288,                 1.2977,                0.07037,                0.03559,                0.01744,                0.00474,                 3.7101,                 3.8559,                 3.0221,                0.00067,                0.00067,                0.00067
                     12,                 1.6661,                 1.6519,                 1.2881,                0.11637,                 0.0281,                0.02133,                0.00404,                 3.6597,                 3.7981,                 2.9679,               0.000637,               0.000637,               0.000637
                     13,                 1.6179,                 1.5657,                 1.2673,                0.01437,                0.07057,                0.01378,                0.00365,                 3.5609,                 4.1444,                 2.9104,               0.000604,               0.000604,               0.000604
                     14,                 1.6181,                 1.5542,                 1.2621,                0.00966,                0.05915,                0.01213,                0.00257,                 3.5487,                 4.1509,                 2.7178,               0.000571,               0.000571,               0.000571
                     15,                 1.5625,                 1.4792,                 1.2327,                0.02549,                0.07007,                0.02235,                0.00516,                  3.645,                 4.0853,                 2.8933,               0.000538,               0.000538,               0.000538
                     16,                 1.5711,                 1.4218,                 1.2249,                0.02674,                0.01794,                0.01066,                0.00274,                 3.6555,                 4.2836,                  3.092,               0.000505,               0.000505,               0.000505
                     17,                 1.5623,                 1.4064,                 1.2181,                  0.013,                0.06612,                0.01178,                0.00317,                 3.5807,                 4.0809,                 2.9055,               0.000472,               0.000472,               0.000472
                     18,                 1.5175,                  1.343,                 1.1988,                0.01625,                0.05941,                0.01383,                0.00347,                 3.5912,                 4.4487,                 2.9143,               0.000439,               0.000439,               0.000439
                     19,                 1.5295,                 1.3316,                 1.1936,                0.01161,                0.05487,                0.00984,                0.00218,                 3.6897,                 4.3441,                 3.0392,               0.000406,               0.000406,               0.000406
                     20,                 1.4815,                 1.2653,                 1.1812,                0.01383,                0.06648,                0.01449,                0.00385,                 3.5622,                 4.2443,                  2.771,               0.000373,               0.000373,               0.000373
                     21,                 1.4296,                 1.1755,                 1.1828,                0.01806,                0.06116,                0.01477,                0.00359,                 3.6403,                 4.1263,                 2.8508,                0.00034,                0.00034,                0.00034
                     22,                 1.3861,                  1.128,                 1.1691,                0.00846,                0.05095,                 0.0079,                0.00153,                 3.6974,                 4.1915,                 3.0282,               0.000307,               0.000307,               0.000307
                     23,                  1.367,                 1.1061,                  1.161,                0.01151,                0.05274,                0.00969,                0.00218,                 3.7067,                 4.1885,                 3.0387,               0.000274,               0.000274,               0.000274
                     24,                 1.3544,                 1.0797,                 1.1496,                0.01128,                0.05894,                0.00929,                 0.0023,                 3.6643,                 4.1644,                 3.0593,               0.000241,               0.000241,               0.000241
                     25,                 1.3383,                 1.0461,                 1.1368,                0.02075,                0.05433,                0.01324,                0.00264,                 3.6967,                 4.3106,                 3.0825,               0.000208,               0.000208,               0.000208
                     26,                 1.3043,                 1.0204,                 1.1179,                0.01097,                0.05036,                0.00952,                0.00252,                 3.6321,                 4.2005,                 2.9773,               0.000175,               0.000175,               0.000175
                     27,                 1.2906,                0.99984,                 1.1199,                0.01118,                0.04516,                0.00997,                0.00257,                 3.6116,                 4.2659,                 2.9267,               0.000142,               0.000142,               0.000142
                     28,                 1.2949,                0.98055,                 1.1123,                0.01139,                0.03669,                0.00796,                0.00197,                 3.7235,                 4.4473,                 3.1169,               0.000109,               0.000109,               0.000109
                     29,                 1.2866,                0.96149,                 1.1208,                0.01173,                0.03774,                0.00805,                0.00222,                 3.6797,                 4.4089,                 3.0686,                7.6e-05,                7.6e-05,                7.6e-05
                     30,                 1.2603,                0.93647,                 1.0977,                0.01281,                0.04055,                0.00897,                 0.0024,                 3.6854,                 4.3933,                 3.0554,                4.3e-05,                4.3e-05,                4.3e-05
